Timestamp,Role,School,Grade
2026-03-30 17:12,Student,Syracuse Junior High,Grade 9
2026-03-30 17:12,Student,Canyon Creek Elementary,Grade 10
2026-03-30 17:12,Student,Other/Staff,N/A
2026-03-30 17:12,Student,Syracuse Junior High,Grade 9
2026-03-30 17:12,Student,Syracuse Junior High,Grade 8
2026-03-30 17:12,Student,Syracuse Junior High,Grade 9
2026-03-30 17:12,Student,Other/Staff,N/A
2026-03-30 17:12,Student,Other/Staff,N/A
2026-03-30 17:12,Student,North Davis Junior High,Grade 10
2026-03-30 17:12,Student,Bountiful Junior High,Grade 11
2026-03-30 17:12,Student,Other/Staff,N/A
2026-03-30 17:12,Student,Other/Staff,N/A
2026-03-30 17:12,Student,,Grade 10
2026-03-30 17:12,Student,Bountiful Elementary,Grade 12
2026-03-30 17:12,Student,Syracuse High,Grade 10
2026-03-30 17:12,Student,Sunset Junior High,Grade 8
2026-03-30 17:12,Student,Syracuse Junior High,Grade 9
2026-03-30 17:12,Student,Other/Staff,N/A
2026-03-30 17:12,Student,Horizon Junior High,Grade 9
2026-03-30 17:12,Student,Cook Elementary,Grade K-6
2026-03-30 17:12,Student,Syracuse Junior High,Grade 9
2026-03-30 17:12,Admin,Syracuse Arts Academy Jr. High,Grade 9
2026-03-30 17:12,Student,Sunset Junior High,Grade 7
2026-03-30 17:12,Moderator,Cook Elementary,Grade K-6
2026-03-30 17:12,Student,Cook Elementary,Grade K-6
2026-03-30 17:12,Student,Syracuse Junior High,Grade 8
2026-03-30 17:12,Student,Syracuse Junior High,Grade 9
2026-03-30 17:12,Admin,Syracuse Junior High,Grade 9
2026-03-30 17:12,Admin,Syracuse Junior High,Grade 9
2026-03-30 17:12,Student,Syracuse Junior High,Grade 9
2026-03-30 17:12,Student,Syracuse Junior High,Grade 9
2026-03-30 17:12,Student,Syracuse Junior High,Grade 9
2026-03-30 17:12,Moderator,Syracuse Junior High,Grade 9
2026-03-30 17:12,Student,Syracuse Junior High,Grade 9
2026-03-30 17:12,Admin,Syracuse Junior High,Grade 9
2026-03-30 17:12,Student,Sunset Junior High,Grade 9
2026-03-30 17:12,Student,Syracuse Junior High,Grade 9
2026-03-30 17:12,Student,Syracuse Junior High,Grade 9
2026-03-30 17:12,Student,Syracuse Junior High,Grade 9
2026-03-30 17:12,Student,Sunset Junior High,Grade 9
2026-03-30 17:12,Student,Other/Staff,N/A
2026-03-30 17:12,Student,Sunset Elementary,Grade 12
2026-03-30 17:12,Student,Other/Staff,N/A
2026-03-30 17:12,Student,Syracuse Junior High,Grade 9
2026-03-30 17:12,Student,Syracuse Junior High,Grade 9
2026-03-30 17:12,Student,Syracuse Junior High,Grade 9
2026-03-30 17:12,Student,Sunset Junior High,Grade 9
2026-03-30 17:12,Moderator,Syracuse Junior High,Grade 7
2026-03-30 17:12,Student,Horizon Junior High,Grade 9
2026-03-30 17:12,Admin,Syracuse Junior High,Grade 9
2026-03-30 17:12,Student,Syracuse Junior High,Grade 7
2026-03-30 17:12,Student,Syracuse Junior High,Grade 9
2026-03-30 17:12,Student,Syracuse Junior High,Grade 9
2026-03-30 17:12,Admin,Other/Staff,N/A
2026-03-30 17:12,Student,Syracuse Junior High,Grade 9
2026-03-30 17:12,Admin,Syracuse Junior High,Grade 9
2026-03-30 17:12,Student,Syracuse Junior High,Grade 9
2026-03-30 17:12,Student,Other,Grade 7
2026-03-30 17:12,Student,Syracuse Junior High,Grade 9
2026-03-30 17:12,Student,Syracuse Junior High,Grade 9
2026-03-30 17:12,Student,Syracuse Junior High,Grade 9
2026-03-30 17:12,Student,Syracuse Junior High,Grade 9
2026-03-30 17:12,Student,Syracuse Junior High,Grade 9
2026-03-30 17:12,Student,Syracuse Junior High,Grade 7
2026-03-30 17:12,Student,North Ogden Junior High,Grade 9
2026-03-30 17:12,Teacher,Other/Staff,N/A
2026-03-30 17:12,Student,Syracuse Junior High,Grade 9
2026-03-30 17:12,Student,Syracuse Junior High,Grade 12
2026-03-30 17:12,Student,Syracuse Junior High,Grade 9
2026-03-30 17:12,Student,Syracuse Junior High,Grade 9
2026-03-30 17:12,Student,Syracuse Junior High,Grade 9
2026-03-30 17:12,Admin,Syracuse Junior High,Grade 9
2026-03-30 17:12,Student,Syracuse Junior High,Grade 9
2026-03-30 17:12,Moderator,Syracuse Junior High,Grade 8
2026-03-30 17:12,Student,Syracuse Junior High,Grade 9
2026-03-30 17:12,Student,Syracuse Junior High,Grade 7
2026-03-30 17:12,Student,Syracuse Junior High,Grade 9
2026-03-30 17:12,Admin,Syracuse Junior High,Grade 9
2026-03-30 17:12,Student,Syracuse Junior High,Grade 8
2026-03-30 17:12,Student,Syracuse Junior High,Grade 9
2026-03-30 17:12,Admin+,Syracuse Junior High,Grade 9
2026-03-30 17:12,Admin+,Syracuse Junior High,Grade 9
2026-03-30 17:12,Admin+,Syracuse Junior High,Grade 9
